Bldg Code,Bldg Number,Name,Site,Address,City,State,Zip,Year of Date Built,Year of Date Acquired,Status,Type,Use,Functional Status,General Fund % ,Recharge %,Assignable SF,Gross Sqr Feet (ARC)
BHRN,036J,BIGHORN (BHRN),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,109,127
BIOT,530,JENNIE SMOLY CARUTHERS BIOTECHNOLOGY BUILDING (BIOT),EAST CAMP,3415 COLORADO AVE,BOULDER,CO,80303,2012,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,100,"204,387","416,570"
BISN,036F,BISON (BISN),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,109,127
BKER,346,BAKER HALL (BKER),MAIN CAMP,2005 BAKER DR,BOULDER,CO,80309,1937,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"67,810","113,238"
BLWR,035E,BLOWER BUILDING (BLWR),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,MECHANICAL,OTHER,GENERAL FUND,100,100,0,54
BREG,205A,BICYCLE REGISTRATION BUILDING (BREG),MAIN CAMP,1681 EUCLID AVE,BOULDER,CO,80309,2008,,OPEN,SHED,OTHER,AUXILIARY,0,100,46,60
BRKT,350,BRACKETT HALL (BRKT),MAIN CAMP,2350 LIBBY DR,BOULDER,CO,80309,1947,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"17,257","26,901"
BUCK,411,BUCKINGHAM HALL (BUCK),MAIN CAMP,2605 KITTREDGE LOOP RD,BOULDER,CO,80309,1964,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"33,846","60,221"
C4C,302,CENTER FOR COMMUNITY (C4C),MAIN CAMP,2249 WILLARD LOOP DR,BOULDER,CO,80309,2010,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,"242,616","320,785"
CARL,386,CARLSON GYMNASIUM (CARL),MAIN CAMP,1900 PLEASANT ST,BOULDER,CO,80309,1924,,OPEN,BUILDING,SPECIAL/GEN USE,GENERAL FUND,100,0,"33,812","58,232"
CARP,033A,CARPENTER SHOP (CARP),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,OTHER,GENERAL FUND,100,100,"1,102","1,234"
CASE,209,CENTER FOR ACADEMIC SUCCESS AND ENGAGEMENT (CASE),MAIN CAMP,1725 EUCLID AVE,BOULDER,CO,80309,1991,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"184,109","248,460"
CCH,255,LIMELIGHT CONFERENCE CENTER & HOTEL (CCH),GRANDVIEW,1295 UNIVERSITY AVE,BOULDER,CO,80302,,,CONSTRUCTION,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,,
CCHG,277,LIMELIGHT CONFERENCE CENTER & HOTEL GARAGE (CCHG),GRANDVIEW,1215 GRANDVIEW AVE,BOULDER,CO,80302,,,CONSTRUCTION,GARAGE,PARKING GARAGE,AUXILIARY,0,100,,
CEDU,261,CONTINUING EDUCATION CENTER (CEDU),GRANDVIEW,1505 UNIVERSITY AVE,BOULDER,CO,80302,1914,1997,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,100,"10,404","19,347"
CHEM,224,CRISTOL CHEMISTRY & BIOCHEMISTRY BUILDING (CHEM),MAIN CAMP,1606 CENTRAL CAMPUS MALL,BOULDER,CO,80309,1958,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"81,582","148,716"
CHEY,326,CHEYENNE ARAPAHO HALL (CHEY),MAIN CAMP,960 GREEN MTN ST,BOULDER,CO,80309,1954,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"72,350","110,628"
CHKD,037D,CHICKADEE (CHKD),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,106,124
CHKR,036C,CHICKAREE (CHKR),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,119,138
CHMP,388,UCHEALTH CHAMPIONS CENTER (CHMP),MAIN CAMP,2150 STADIUM DR,BOULDER,CO,80309,2015,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,"134,302","231,119"
CHST,391A,CHEMICAL STORAGE BUILDING (CHST),MAIN CAMP,1060 REGENT DRIVE,BOULDER,CO,80309,2009,,OPEN,BUILDING,OTHER,GENERAL FUND,100,0,140,165
CINC,585,CENTER FOR INNOVATION & CREATIVITY (CINC),EASTCAMPN,1777 EXPOSITION DR,BOULDER,CO,80303,1974,2002,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"58,535","87,183"
CINCP,585A,CENTER FOR INNOVATION & CREATIVITY PAVILION (CINCP),EASTCAMPN,1777 EXPOSITION DR,BOULDER,CO,80303,1974,2002,OPEN,BUILDING,CLASSROOM/ADMIN,RESEARCH PROPERTY SERVICES,0,100,"1,356","1,648"
CIRE,225,CIRES COOPERATIVE INSTITUTE FOR RESEARCH IN ENVIRONMENTAL SCIENCES (CIRE),MAIN CAMP,1665 CENTRAL CAMPUS MALL,BOULDER,CO,80309,1987,,OPEN,BUILDING,RESEARCH/LAB,RESEARCH PROPERTY SERVICES,0,100,"14,335","28,657"
CKRL,340,COCKERELL HALL (CKRL),MAIN CAMP,2370 LIBBY DR,BOULDER,CO,80309,1947,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"17,476","25,372"
CLMB,038C,COLUMBINE (CLMB),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,GENERAL FUND,100,100,694,770
CLRE,382,CLARE SMALL ARTS & SCIENCES (CLRE),MAIN CAMP,1725 PLEASANT ST,BOULDER,CO,80309,1928,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"25,463","43,373"
CLUB,202,UNIVERSITY CLUB (CLUB),MAIN CAMP,972 BROADWAY,BOULDER,CO,80309,1939,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"15,767","28,197"
COMP,579,COMPUTING CENTER (COMP),EAST CAMP,3645 MARINE ST,BOULDER,CO,80303,1973,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"14,285","28,880"
COTT,212,GATES WOODRUFF WOMEN'S STUDIES COTTAGE (COTT),MAIN CAMP,1160 BROADWAY,BOULDER,CO,80309,1885,,OPEN,BUILDING,HISTORIC BLDG,GENERAL FUND,100,0,"3,111","5,229"
COYO,036H,COYOTE (COYO),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,109,127
CPMP,493,COLORADO POND PUMP STATION (CPMP),MAIN CAMP,2700 COLORADO AVE,BOULDER,CO,80309,1991,,OPEN,MECHANICAL,OTHER,AUXILIARY,0,100,0,478
CROS,338,CROSMAN HALL (CROS),MAIN CAMP,1015 COCKERELL DR,BOULDER,CO,80309,1947,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"17,833","25,936"
DACR,191,CU CHILDREN'S CENTER (DACR),N BLDR CRK,2202 ARAPAHOE AVE,BOULDER,CO,80309,1975,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,"3,077","4,129"
DACRA,191A,CU CHILDREN'S CENTER (DACRA),N BLDR CRK,2202 ARAPAHOE AVE,BOULDER,CO,80309,1975,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,"1,854","2,360"
DACRB,191B,CU CHILDREN'S CENTER (DACRB),N BLDR CRK,2202 ARAPAHOE AVE,BOULDER,CO,80309,1975,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,180,189
DALW,389,DAL WARD ATHLETIC CENTER (DALW),MAIN CAMP,2100 STADIUM DR,BOULDER,CO,80309,1991,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,"53,347","100,749"
DDW,357,DUANE D-WING (DDW),MAIN CAMP,1950 COLORADO AVE,BOULDER,CO,80309,1966,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"15,947","31,997"
DEN,207,DENISON ARTS & SCIENCES BUILDING (DEN),MAIN CAMP,1080 BROADWAY,BOULDER,CO,80309,1912,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"3,021","5,471"
DHLL,030,DINING HALL (DHLL),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,"1,643","2,452"
DLC,447,GALLOGLY DISCOVERY LEARNING CENTER (DLC),MAIN CAMP,1095 REGENT DR,BOULDER,CO,80309,2002,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"21,776","59,745"
DRLN,606N,DARLEY TOWERS NORTH (DRLN),WILL VILL,500 30TH ST,BOULDER,CO,80309,1969,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"45,137","72,423"
DRLS,606S,DARLEY TOWERS SOUTH (DRLS),WILL VILL,500 30TH ST,BOULDER,CO,80309,1969,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"30,673","50,541"
DUAN,359,DUANE PHYSICS (DUAN),MAIN CAMP,2000 COLORADO AVE,BOULDER,CO,80309,1971,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"117,360","195,233"
ECAD,438,ENGINEERING ADMINISTRATION WING (ECAD),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1965,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"6,665","18,817"
ECCE,436,ENGINEERING CIVIL & ENVIRONMENTAL WING (ECCE),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"51,879","71,932"
ECCR,432,ENGINEERING CLASSROOM WING (ECCR),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1965,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"32,033","63,929"
ECCS,432S,ENGINEERING COMPUTER SCIENCE DEPT (ECCS),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"19,153","36,859"
ECEE,444,ENGINEERING ELECTRICAL WING (ECEE),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"75,274","112,348"
ECES,434,ENVIRONMENTAL SUSTAINABILITY WING (ECES),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"38,028","51,836"
ECGBA,599A,EAST CAMPUS GROUNDS BUILDING A (ECGBA),EAST CAMP,3300 MARINE ST,BOULDER,CO,80303,,,OPEN,SHED,OTHER,GENERAL FUND,100,0,264,294
ECGBB,599B,EAST CAMPUS GROUNDS BUILDING B (ECGBB),EAST CAMP,3300 MARINE ST,BOULDER,CO,80303,,,OPEN,SHED,OTHER,GENERAL FUND,100,0,447,483
ECGBC,599C,EAST CAMPUS GROUNDS BUILDING C (ECGBC),EAST CAMP,3300 MARINE ST,BOULDER,CO,80303,,,OPEN,SHED,OTHER,GENERAL FUND,100,0,264,294
ECGBD,599D,EAST CAMPUS GROUNDS BUILDING D (ECGBD),EAST CAMP,3300 MARINE ST,BOULDER,CO,80303,,,OPEN,SHED,OTHER,GENERAL FUND,100,0,264,294
ECME,440,ENGINEERING MECHANICAL WING (ECME),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"35,155","51,762"
ECNT,441,ENGINEERING NORTH TOWER (ECNT),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"5,944","18,156"
ECNW,442,ENGINEERING CENTER NORTH WING (ECNW),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"26,639","40,692"
ECON,215,ECONOMICS BUILDING (ECON),MAIN CAMP,1445 CENTRAL CAMPUS MALL,BOULDER,CO,80309,1930,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"15,627","29,605"
ECOT,439,ENGINEERING OFFICE TOWER (ECOT),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1965,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"33,851","90,249"
ECPDC,540,EAST CAMPUS POWER DISTRIBUTION CENTER (ECPDC),EAST CAMP,1360 33RD ST,BOULDER,CO,80303,2011,,OPEN,BUILDING,OTHER,AUXILIARY,0,100,0,"1,491"
ECSL,435,ENGINEERING STORES & LABS (ECSL),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1993,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"6,331","12,274"
ECST,433,ENGINEERING SOUTH TOWER (ECST),MAIN CAMP,1111 ENGINEERING DR,BOULDER,CO,80309,1965,,OPEN,BUILDING,RESEARCH/LAB,GENERAL FUND,100,0,"4,901","16,906"
EDEP,427,EAST DISTRICT ENERGY PLANT (EDEP),MAIN CAMP,980 REGENT DR,BOULDER,CO,80309,2014,,OPEN,BUILDING,OTHER,AUXILIARY,0,100,"4,181","56,546"
EHSC,458,ENVIRONMENTAL HEALTH & SAFETY (EHSC),MAIN CAMP,1000 REGENT DR,BOULDER,CO,80309,1995,,OPEN,BUILDING,OTHER,GENERAL FUND,78,22,"13,747","22,270"
EKLC,226,EKELEY SCIENCES BUILDING (EKLC),MAIN CAMP,1601 CENTRAL CAMPUS MALL,BOULDER,CO,80309,1925,,OPEN,BUILDING,HISTORIC BLDG,GENERAL FUND,100,0,"81,907","133,996"
ELSH,034E,ELECTRIC SHOP (ELSH),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,OTHER,GENERAL FUND,100,100,188,232
EMGBA,499A,EAST MAIN GROUNDS BUILDING A (EMGBA),MAIN CAMP,950 REGENT DR,BOULDER,CO,80309,,,OPEN,SHED,OTHER,GENERAL FUND,100,0,266,295
EMGBB,499B,EAST MAIN GROUNDS BUILDING B (EMGBB),MAIN CAMP,950 REGENT DR,BOULDER,CO,80309,,,OPEN,SHED,OTHER,GENERAL FUND,100,0,266,294
ENVD,344,ENVIRONMENTAL DESIGN BUILDING (ENVD),MAIN CAMP,1060 18TH ST,BOULDER,CO,80309,1948,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"42,387","60,412"
EVNT,420,CU EVENTS CENTER (EVNT),MAIN CAMP,950 REGENT DR,BOULDER,CO,80309,1979,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,"124,340","194,226"
FBST,347,FOLSOM BIKE STATION (FBST),MAIN CAMP,COCKERELL DR,BOULDER,CO,80309,2013,,OPEN,SHED,OTHER,AUXILIARY,0,100,311,347
FH,387,BALCH FIELDHOUSE COMPLEX (FH),MAIN CAMP,1995 COLORADO AVE,BOULDER,CO,80309,1936,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,"51,198","69,161"
FHPB,387E,BALCH FIELDHOUSE PRESSBOX (FHPB),MAIN CAMP,2005 COLORADO AVE,BOULDER,CO,80309,1968,,OPEN,BUILDING,SPECIAL/GEN USE,AUXILIARY,0,100,"14,797","20,247"
FIRE,036M,FIRE SPRINKLER BUILDING (FIRE),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,2023,,OPEN,MECHANICAL,OTHER,AUXILIARY,0,100,0,62
FISK,414,FISKE PLANETARIUM & SCIENCE CENTER (FISK),MAIN CAMP,2414 REGENT DR,BOULDER,CO,80309,1975,,OPEN,BUILDING,CLASSROOM/ADMIN,GENERAL FUND,100,0,"12,910","16,768"
FLYC,037G,FLYCATCHER (FLYC),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,106,124
FNCH,037K,FINCH (FNCH),MTN RSH ST,818 COUNTY RD 116,NEDERLAND,CO,80466,1920,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,108,126
FRND,336,FARRAND HALL (FRND),MAIN CAMP,2200 BAKER DR,BOULDER,CO,80309,1948,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"80,540","132,552"
FS1,136J,FACULTY STAFF COURT 1 (FS1),N BLDR CRK,1245 19TH ST,BOULDER,CO,80309,1954,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"2,824","3,574"
FS2,136E,FACULTY STAFF COURT 2 (FS2),N BLDR CRK,1250 18TH ST,BOULDER,CO,80309,1954,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"2,824","3,574"
FS4,136H,FACULTY STAFF COURT 4 (FS4),N BLDR CRK,1255 19TH ST,BOULDER,CO,80309,1954,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"2,824","3,574"
FS8,136F,FACULTY STAFF COURT 8 (FS8),N BLDR CRK,1850 ATHENS ST,BOULDER,CO,80309,1954,,OPEN,BUILDING,RESIDENTIAL,AUXILIARY,0,100,"2,824","3,574"
